('empresarios', 0.3602069866934434)
('empresa', 0.36057005609791404)
('mil', 0.3607911154968706)
('ese', 0.3608945280655085)
('tal', 0.36142496908125005)
('tes', 0.36216561558745514)
('ser', 0.3624647818457277)
('más', 0.3627045332182247)
('año', 0.362742145036834)
('sin', 0.3633869926269232)
('eso', 0.3642255727254943)
('como', 0.3644731179738331)
('ver', 0.36566135513157644)
('sus', 0.3663130542775661)
('estr', 0.3667291441577911)
('fin', 0.3667847694144849)
('ior', 0.367321504008327)
('mas', 0.36750068341411296)
('eco', 0.36752803771541837)
('pri', 0.36823715180566385)
('he', 0.3684649209746814)
('yo', 0.36854471286648405)
('mis', 0.368653607849035)
('ya', 0.36920378180819724)
('red', 0.36996022303485143)
('fue', 0.37019648106364794)
('forma', 0.37055279891105547)
('son', 0.3710119015208581)
('cien', 0.3717368556674291)
('ip', 0.3717520594322847)
('av', 0.3717716130355585)
('ven', 0.37189143580636885)
('contra', 0.37204830340417056)
('mayo', 0.37213041590019225)
('este', 0.37233868015295013)
('excelsior', 0.3723698951158204)
('dólar', 0.37245198713267574)
('pera', 0.37250897305438063)
('millones', 0.3731741089794199)
('mayor', 0.37342846975369787)
('ane', 0.3734563732674685)
('tiene', 0.3736649039152291)
('dr', 0.3736870851124355)
('asa', 0.3737748394030924)
('tema', 0.37464335412557104)
('udi', 0.3746828344049726)
('dar', 0.374685100925534)
('esto', 0.3747022111776255)
('dio', 0.37475279305726317)
('media', 0.3749111415407822)
('pues', 0.3749115305636936)
('sistemas', 0.37492179881684884)
('considera', 0.37500623728716187)
('acciones', 0.3752016095926342)
('abril', 0.37525440886462)
('ades', 0.3753888364878651)
('está', 0.3753888364878651)
('han', 0.375479210723544)
('todo', 0.37552560167535487)
('país', 0.37571717012561257)
('ende', 0.3759082219176656)
('ala', 0.3760329839219553)
('nacional', 0.3760329839219553)
('baja', 0.37609417672751144)
('méxico', 0.3761042279184846)
('tante', 0.3761042279184846)
('sistema', 0.37623410317152833)
('gobierno', 0.3762456929880018)
('entre', 0.3763158926169692)
('años', 0.3763330724787936)
('eu', 0.37661444384052717)
('pero', 0.37669661030618184)
('cen', 0.3767393812249256)
('sobre', 0.3767618308490099)
('genera', 0.3768226864857197)
('peso', 0.3768226864857197)
('temas', 0.3770386967663733)
('col', 0.3770787477937435)
('uno', 0.3771253406897407)
('debe', 0.37725118715388073)
('primer', 0.37725313568289515)
('estado', 0.37731610867905496)
('edo', 0.37739298444533953)
('dólares', 0.377459563664305)
('nota', 0.3776479256168457)
('www', 0.3777891298335684)
('http', 0.37785911597621336)
('siguiente', 0.37785911597621336)
('une', 0.37792867021266796)
('lujos', 0.3780033805133943)
('hace', 0.37808633950074566)
('html', 0.3782022066640346)
('auditoría', 0.3782483548318976)
('banc', 0.378269319590746)
('dif', 0.378269319590746)
('esos', 0.37831309100094124)
('lunes', 0.37846723227478807)
('general', 0.378522181795437)
('cual', 0.37890426719863596)
('importa', 0.37890426719863596)
('mero', 0.3789051154681401)
('trabaja', 0.3790226709467013)
('quien', 0.3791199631384178)
('real', 0.3791199631384178)
('sí', 0.3791199631384178)
('ee', 0.3792974023749872)
('trabajador', 0.3792974023749872)
('bajo', 0.379348467718449)
('anda', 0.3793980264442412)
('capital', 0.3793980264442412)
('cuenta', 0.3793980264442412)
('tel', 0.37940133976605417)
('pequeña', 0.3794538670390002)
('persona', 0.37947043360345417)
('día', 0.37954935170183424)
('curso', 0.3796189395068992)
('manda', 0.3796566898080562)
('trabajadores', 0.3796566898080562)
('deuda', 0.3796935874969737)
('ello', 0.3797022984090027)
('plan', 0.3797410253027118)
('gran', 0.37977833395451)
('hasta', 0.37977833395451)
('cursos', 0.37977939095131935)
('recurso', 0.37977939095131935)
('tecnología', 0.37978333984423357)
('sólo', 0.3798070700922984)
('recursos', 0.37983318729804105)
('mes', 0.37992947187912623)
('sol', 0.37992947187912623)
('parte', 0.37997944181145893)
('indica', 0.38000075461247107)
('antes', 0.380059964441961)
('cada', 0.38012570674535384)
('otro', 0.38030038877788686)
('quebrar', 0.3803786386433657)
('práctica', 0.38051900761703045)
('vive', 0.38051900761703045)
('financiero', 0.3805809820305225)
('ciento', 0.3806799433445005)
('económica', 0.3806799433445005)
('social', 0.3806799433445005)
('valor', 0.3808127368910692)
('pueda', 0.3808268341802419)
('tras', 0.38082818225413173)
('mexicana', 0.3808520123183092)
('hora', 0.38087314964780417)
('poder', 0.38087314964780417)
('puede', 0.38087314964780417)
('también', 0.38087314964780417)
('opera', 0.3809510497086511)
('estructura', 0.38095705753821374)
('banco', 0.38097660517532594)
('unos', 0.38099768950038615)
('caso', 0.38100319496290247)
('toma', 0.38101247432639174)
('demanda', 0.3810137437025113)
('raro', 0.38102410966288097)
('echa', 0.38107801381005924)
('don', 0.38108731661589534)
('medio', 0.38108731661589534)
('cuando', 0.3811448372884626)
('uso', 0.3811448372884626)
('pesos', 0.38121084557464296)
('público', 0.38121084557464296)
('tiempo', 0.38127598128833395)
('mismo', 0.3813401810225157)
('pública', 0.3813401810225157)
('política', 0.38147023533623864)
('presenta', 0.38147023533623864)
('tomar', 0.38149629249002326)
('pequeñas', 0.38153801069435395)
('perder', 0.38153801069435395)
('pasa', 0.3816208776241695)
('pt', 0.3816208776241695)
('preside', 0.3816955786641678)
('toda', 0.3816955786641678)
('financiera', 0.3817563323455209)
('lado', 0.3817698345033431)
('tener', 0.38180969314682445)
('gente', 0.38184361847914683)
('vicio', 0.381861081474015)
('dan', 0.3819169013527901)
('desde', 0.3819169013527901)
('semana', 0.3819570967052806)
('reestructura', 0.381972802494065)
('vida', 0.3819886035837213)
('bien', 0.3819896509915161)
('estados', 0.38200122064974684)
('servicio', 0.38200122064974684)
('ayer', 0.3820423532538974)
('número', 0.3820423532538974)
('oye', 0.3820423532538974)
('deben', 0.3820575459305846)
('ciudad', 0.38206183200262095)
('problema', 0.38206183200262095)
('formar', 0.3821186481033042)
('importante', 0.38213340531045836)
('proyecto', 0.38214382805832847)
('aun', 0.3821686420851632)
('aplica', 0.38218784353155244)
('menos', 0.38218784353155244)
('renta', 0.38218784353155244)
('necesario', 0.38220571664860437)
('actual', 0.3822745510743579)
('porque', 0.3823081400273207)
('otros', 0.3823873994898688)
('producto', 0.3823873994898688)
('dura', 0.38246638423139434)
('stic', 0.38247848649570304)
('mercado', 0.38248046164037275)
('oti', 0.38248046164037275)
('señal', 0.38248046164037275)
('mal', 0.38252045964672815)
('san', 0.38254507977734387)
('otra', 0.3826234702625664)
('balanza', 0.3826580224322816)
('estratégica', 0.3826580224322816)
('innecesario', 0.3826580224322816)
('dirige', 0.3826777321950502)
('lio', 0.3826777321950502)
('hay', 0.3826871551325015)
('edad', 0.382701538261462)
('muy', 0.382701538261462)
('dinero', 0.38274114512107815)
('nacionales', 0.3828031921650939)
('nueva', 0.3828031921650939)
('pone', 0.3828031921650939)
('comercial', 0.3828608881818129)
('mayores', 0.3828608881818129)
('redocumenta', 0.3828608881818129)
('llega', 0.38286373157691256)
('mucho', 0.38286373157691256)
('internet', 0.3829361556661147)
('grupo', 0.3829796092511339)
('sector', 0.3829796092511339)
('eje', 0.383010170435486)
('formación', 0.383010170435486)
('sino', 0.383010170435486)
('directo', 0.38303453911659563)
('nivel', 0.38303453911659563)
('rector', 0.38303453911659563)
('mexicanas', 0.3830460553674867)
('micro', 0.3830460553674867)
('pasivos', 0.3830460553674867)
('programa', 0.3830862944735535)
('corre', 0.38308713274062445)
('director', 0.38308713274062445)
('estas', 0.38308713274062445)
('están', 0.38308713274062445)
('decir', 0.3831370873012159)
('estos', 0.38316194530420866)
('información', 0.38316194530420866)
('mano', 0.38316194530420866)
('pasivo', 0.38317404719404224)
('sociales', 0.38317404719404224)
('desc', 0.38318404352666124)
('intereses', 0.38318404352666124)
('paga', 0.38318404352666124)
('primera', 0.38318404352666124)
('unidos', 0.38318404352666124)
('manera', 0.38322757187070733)
('poco', 0.38322757187070733)
('dado', 0.3832370869546997)
('durante', 0.3832370869546997)
('mor', 0.3832370869546997)
('todos', 0.3832370869546997)
('mí', 0.3832503184986874)
('bancos', 0.38326165529171385)
('plazo', 0.38326165529171385)
('valuación', 0.38326165529171385)
('buen', 0.3832671544039602)
('alguno', 0.3833021607836128)
('datos', 0.3833021607836128)
('emplea', 0.3833021607836128)
('papel', 0.3833021607836128)
('tendrá', 0.3833021607836128)
('total', 0.38331167906954633)
('blemas', 0.3833318159038404)
('grande', 0.3833318159038404)
('líder', 0.3833318159038404)
('sea', 0.38334803479802976)
('crea', 0.3833551556469654)
('enfrenta', 0.3833551556469654)
('pago', 0.3833551556469654)
('personal', 0.3833551556469654)
('problemas', 0.3833551556469654)
('seguir', 0.3833551556469654)
('venta', 0.3833551556469654)
('bursátil', 0.3833551680940944)
('puerto', 0.3833551680940944)
('punto', 0.3833551680940944)
('algunos', 0.38337331725574414)
('empleados', 0.38337331725574414)
('grandes', 0.38337331725574414)
('noviembre', 0.38337331725574414)
('obliga', 0.38337331725574414)
('comer', 0.38337769188530324)
('consejo', 0.38337769188530324)
('crédito', 0.38337769188530324)
('empleado', 0.38337769188530324)
('financieros', 0.38337769188530324)
('presidente', 0.3834590271030951)
('van', 0.3834590271030951)
('rica', 0.3835060917283424)
('cerrar', 0.38351816940726746)
('puedan', 0.38351816940726746)
('reducción', 0.38351816940726746)
('cano', 0.383674578441051)
('dirigen', 0.383674578441051)
('materia', 0.383674578441051)
('quienes', 0.383674578441051)
('trabajo', 0.383674578441051)
('ahora', 0.38374467414947944)
('control', 0.38374467414947944)
('funciona', 0.38374467414947944)
('vado', 0.38374467414947944)
('autor', 0.3837552233095857)
('donde', 0.38381373585171397)
('unidad', 0.3838816468982528)
('banca', 0.38391649115559323)
('hacer', 0.38391649115559323)
('interna', 0.3839482710989274)
('quiere', 0.3839482710989274)
('cambiar', 0.3839576223250178)
('cargo', 0.3839576223250178)
('necesarios', 0.3839576223250178)
('obispo', 0.3839576223250178)
('obligaciones', 0.3839576223250178)
('reporte', 0.3839576223250178)
('vender', 0.3839576223250178)
('además', 0.38399672200515145)
('ella', 0.38399672200515145)
('estar', 0.38399672200515145)
('tanto', 0.38399672200515145)
('final', 0.3840134484518013)
('dios', 0.384015213961277)
('eran', 0.384015213961277)
('último', 0.3840766591257003)
('crisis', 0.3840769896992303)
('mexicano', 0.3840769896992303)
('situación', 0.3840769896992303)
('precio', 0.3840997349003187)
('manos', 0.3841386693168053)
('parece', 0.3841386693168053)
('desarrollo', 0.3841562807436758)
('pie', 0.3841562807436758)
('trata', 0.38419821638157653)
('cierre', 0.38421174404056646)
('coordinador', 0.38421174404056646)
('crear', 0.38421174404056646)
('década', 0.38421174404056646)
('flujo', 0.38421174404056646)
('riesgo', 0.38421174404056646)
('federal', 0.3842355621972152)
('supe', 0.38425530253017104)
('vez', 0.38425530253017104)
('vicios', 0.38425530253017104)
('mucha', 0.38430952586212763)
('político', 0.3843144754431479)
('queda', 0.3843144754431479)
('computador', 0.38436038909744474)
('dieron', 0.38436038909744474)
('recuperación', 0.38436038909744474)
('servicios', 0.38436038909744474)
('alrededor', 0.38436568690221323)
('california', 0.38436568690221323)
('coordinado', 0.38436568690221323)
('errar', 0.38436568690221323)
('hicieron', 0.38436568690221323)
('líderes', 0.38436568690221323)
('ellos', 0.3843929884593945)
('industria', 0.3843929884593945)
('alguna', 0.384407269438343)
('aquí', 0.384407269438343)
('computadora', 0.384407269438343)
('empleo', 0.384407269438343)
('particular', 0.384407269438343)
('tienen', 0.384407269438343)
('todas', 0.384407269438343)
('así', 0.3844367853039933)
('alto', 0.38444937620063824)
('mexicanos', 0.38444937620063824)
('sido', 0.38444937620063824)
('tenga', 0.38444937620063824)
('valores', 0.38444937620063824)
('capitalino', 0.38445885942943103)
('evaluación', 0.38445885942943103)
('importantes', 0.38445885942943103)
('informática', 0.38445885942943103)
('miles', 0.38445885942943103)
('quiebra', 0.38445885942943103)
('recordar', 0.38445885942943103)
('segundo', 0.38445885942943103)
('autoridad', 0.38447106451592605)
('cuerdo', 0.38447106451592605)
('hoy', 0.38447106451592605)
('once', 0.38447106451592605)
('personas', 0.38447106451592605)
('tales', 0.38447106451592605)
('caro', 0.38448568998536686)
('deja', 0.38448568998536686)
('maneja', 0.38448568998536686)
('ubre', 0.38448568998536686)
('cabal', 0.3845122353358573)
('emisoras', 0.3845122353358573)
('ofrece', 0.3845122353358573)
('aprovecha', 0.3845148732365278)
('mecanismo', 0.3845148732365278)
('organismo', 0.3845148732365278)
('alta', 0.3845207742194764)
('investiga', 0.3845207742194764)
('aeropuerto', 0.3845351350732884)
('mantener', 0.3845351350732884)
('requiere', 0.3845351350732884)
('compañía', 0.3845380686299467)
('dedo', 0.3845380686299467)
('dejar', 0.3845380686299467)
('emisora', 0.3845380686299467)
('mecanismos', 0.3845380686299467)
('vista', 0.3845380686299467)
('dará', 0.38454402043136826)
('idea', 0.38454402043136826)
('pagar', 0.38454402043136826)
('registro', 0.38454402043136826)
('acuerdo', 0.3845486612792681)
('inflación', 0.3845486612792681)
('priva', 0.3845486612792681)
('área', 0.3845486612792681)
('pra', 0.38460464620092294)
('cambio', 0.3846257297044271)
('casi', 0.3846257297044271)
('embargo', 0.3846257297044271)
('misión', 0.3846257297044271)
('mundo', 0.3846257297044271)
('puesto', 0.3846257297044271)
('realiza', 0.3846257297044271)
('seguridad', 0.3846257297044271)
('ola', 0.3847022126529276)
('oro', 0.3847720205648943)
('autoridades', 0.38477804315454167)
('económico', 0.38477804315454167)
('posible', 0.38477804315454167)
('agobia', 0.38479161275842066)
('aprovechan', 0.38479161275842066)
('arizmendi', 0.38479161275842066)
('aéreas', 0.38479161275842066)
('básicamente', 0.38479161275842066)
('cargos', 0.38479161275842066)
('colectivo', 0.38479161275842066)
('compara', 0.38479161275842066)
('conseguir', 0.38479161275842066)
('descuidar', 0.38479161275842066)
('devaluación', 0.38479161275842066)
('disminuyó', 0.38479161275842066)
('enfrentan', 0.38479161275842066)
('estimó', 0.38479161275842066)
('fabril', 0.38479161275842066)
('flujos', 0.38479161275842066)
('miseria', 0.38479161275842066)
('operar', 0.38479161275842066)
('operativo', 0.38479161275842066)
('semestre', 0.38479161275842066)
('solucione', 0.38479161275842066)
('suerte', 0.38479161275842066)
('cato', 0.38485314220067035)
('interés', 0.38485314220067035)
('mental', 0.38485314220067035)
('pobre', 0.38485314220067035)
('sabe', 0.38485314220067035)
('sumo', 0.38485314220067035)
('momento', 0.38485551198191587)
('base', 0.3849274159151477)
('nuevo', 0.3849274159151477)
